#Layout of plot zone full-shd : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-01-21  11:10 pshenoa ITER#012_(DT1-F57-W,_15MA,_H-mode,_D+He+Ne,_120MW,_wlld_3/9/
#R	Z	Rc	Zc	x	DG_elm
 6.13097E+00	-3.18850E+00	 6.18758E+00	-3.13430E+00	 7.83705E-02	 1065
 6.24418E+00	-3.08010E+00	 6.31865E+00	-3.01245E+00	 2.57351E-01	  812
 6.39312E+00	-2.94479E+00	 6.43202E+00	-2.91459E+00	 4.07215E-01	  813
 6.47093E+00	-2.88438E+00	 6.51695E+00	-2.84866E+00	 5.14727E-01	  814
 6.56296E+00	-2.81293E+00	 6.64165E+00	-2.75184E+00	 6.72599E-01	  815
 6.72033E+00	-2.69076E+00	 6.78899E+00	-2.63746E+00	 8.59126E-01	  816
 6.85764E+00	-2.58416E+00	 6.91809E+00	-2.53723E+00	 1.02256E+00	  817
 6.97853E+00	-2.49030E+00	 7.03367E+00	-2.44750E+00	 1.16889E+00	  818
 7.08880E+00	-2.40470E+00	 7.14069E+00	-2.36441E+00	 1.30438E+00	  819
 7.19258E+00	-2.32413E+00	 7.24613E+00	-2.26149E+00	 1.45248E+00	  820
 7.29968E+00	-2.19885E+00	 7.36076E+00	-2.12312E+00	 1.63218E+00	  821
 7.42183E+00	-2.04740E+00	 7.47798E+00	-1.96404E+00	 1.82997E+00	  822
 7.53413E+00	-1.88067E+00	 7.59084E+00	-1.79648E+00	 2.03199E+00	  823
 7.64755E+00	-1.71229E+00	 7.72317E+00	-1.60002E+00	 2.26887E+00	  824
 7.79880E+00	-1.48774E+00	 7.83968E+00	-1.42705E+00	 2.47742E+00	  825
 7.88056E+00	-1.36635E+00	 7.92646E+00	-1.27017E+00	 2.65717E+00	  826
 7.97236E+00	-1.17398E+00	 8.04914E+00	-1.00032E+00	 2.95362E+00	  827
 8.12591E+00	-8.26668E-01	 8.16533E+00	-7.37493E-01	 3.24099E+00	  828
 8.20476E+00	-6.48318E-01	 8.21699E+00	-6.09156E-01	 3.37952E+00	  829
 8.22923E+00	-5.69995E-01	 8.25668E+00	-4.61372E-01	 3.53258E+00	  830
 8.28412E+00	-3.52750E-01	 8.30544E+00	-2.41780E-01	 3.75762E+00	  831
 8.32676E+00	-1.30811E-01	 8.33777E+00	-1.73852E-02	 3.98458E+00	  832
 8.34878E+00	 9.60403E-02	 8.36105E+00	 2.43054E-01	 4.24606E+00	  833
 8.37332E+00	 3.90067E-01	 8.38018E+00	 4.72180E-01	 4.47598E+00	  834
 8.38703E+00	 5.54294E-01	 8.38149E+00	 6.70278E-01	 4.67450E+00	  835
 8.37596E+00	 7.86261E-01	 8.35353E+00	 9.75907E-01	 4.98158E+00	  836
 8.33110E+00	 1.16555E+00	 8.31692E+00	 1.28543E+00	 5.29326E+00	  837
 8.30274E+00	 1.40531E+00	 8.29389E+00	 1.44396E+00	 5.45363E+00	  838
 8.28504E+00	 1.48261E+00	 8.25257E+00	 1.59580E+00	 5.61103E+00	  839
 8.22010E+00	 1.70899E+00	 8.18171E+00	 1.82036E+00	 5.84659E+00	  840
 8.14332E+00	 1.93174E+00	 8.10762E+00	 2.02040E+00	 6.05998E+00	  841
 8.07193E+00	 2.10907E+00	 8.01283E+00	 2.23588E+00	 6.29547E+00	  842
 7.95374E+00	 2.36270E+00	 7.89427E+00	 2.46427E+00	 6.55308E+00	  843
 7.83480E+00	 2.56584E+00	 7.79629E+00	 2.62039E+00	 6.73754E+00	  844
 7.75778E+00	 2.67493E+00	 7.66123E+00	 2.81170E+00	 6.97173E+00	  845
 7.56468E+00	 2.94846E+00	 7.49755E+00	 3.04355E+00	 7.25554E+00	  846
 7.43042E+00	 3.13864E+00	 7.37175E+00	 3.19796E+00	 7.45537E+00	  855
 7.31308E+00	 3.25729E+00	 7.23299E+00	 3.32765E+00	 7.64540E+00	  854
 7.15291E+00	 3.39800E+00	 7.03574E+00	 3.50095E+00	 7.90798E+00	  853
 6.91856E+00	 3.60390E+00	 6.86660E+00	 3.64955E+00	 8.13312E+00	  852
 6.81463E+00	 3.69521E+00	 6.69763E+00	 3.79801E+00	 8.35804E+00	  851
 6.58063E+00	 3.90080E+00	 6.49284E+00	 3.96933E+00	 8.62516E+00	  850
 6.40506E+00	 4.03787E+00	 6.31703E+00	 4.10494E+00	 8.84720E+00	  849
 6.22899E+00	 4.17202E+00	 6.14135E+00	 4.23880E+00	 9.06805E+00	  848
 6.05372E+00	 4.30557E+00	 5.96606E+00	 4.37236E+00	 9.28844E+00	  847
 5.87840E+00	 4.43915E+00	 5.80323E+00	 4.48965E+00	 9.48920E+00	  856
 5.72805E+00	 4.54014E+00	 5.66462E+00	 4.55450E+00	 9.64480E+00	  857
 5.60118E+00	 4.56886E+00	 5.53280E+00	 4.58435E+00	 9.77995E+00	  858
 5.46442E+00	 4.59983E+00	 5.39841E+00	 4.61477E+00	 9.91774E+00	  859
 5.33241E+00	 4.62971E+00	 5.27200E+00	 4.64339E+00	 1.00474E+01	  860
 5.21159E+00	 4.65707E+00	 5.13772E+00	 4.67379E+00	 1.01850E+01	  861
 5.06386E+00	 4.69052E+00	 4.98342E+00	 4.69491E+00	 1.03413E+01	  862
 4.90298E+00	 4.69930E+00	 4.82815E+00	 4.65244E+00	 1.05102E+01	  863
 4.75332E+00	 4.60558E+00	 4.63152E+00	 4.52930E+00	 1.07422E+01	  864
 4.50972E+00	 4.45303E+00	 4.47322E+00	 4.43017E+00	 1.09290E+01	  865
 4.43672E+00	 4.40731E+00	 4.40626E+00	 4.38824E+00	 1.10080E+01	  866
 4.37580E+00	 4.36916E+00	 4.34836E+00	 4.34619E+00	 1.10797E+01	  867
 4.32092E+00	 4.32321E+00	 4.30565E+00	 4.26561E+00	 1.11751E+01	  868
 4.29039E+00	 4.20802E+00	 4.27372E+00	 4.14514E+00	 1.12997E+01	  869
 4.25705E+00	 4.08226E+00	 4.23680E+00	 4.00586E+00	 1.14438E+01	  870
 4.21655E+00	 3.92945E+00	 4.19369E+00	 3.84320E+00	 1.16121E+01	  871
 4.17083E+00	 3.75695E+00	 4.14773E+00	 3.65407E+00	 1.18067E+01	  872
 4.12463E+00	 3.55118E+00	 4.12289E+00	 3.46334E+00	 1.20000E+01	  873
 4.12116E+00	 3.37549E+00	 4.11945E+00	 3.28893E+00	 1.21745E+01	  874
 4.11774E+00	 3.20237E+00	 4.11603E+00	 3.11559E+00	 1.23479E+01	  875
 4.11432E+00	 3.02880E+00	 4.11328E+00	 2.97637E+00	 1.24871E+01	  876
 4.11225E+00	 2.92394E+00	 4.10984E+00	 2.80173E+00	 1.26618E+01	  877
 4.10742E+00	 2.67952E+00	 4.10636E+00	 2.59166E+00	 1.28719E+01	  878
 4.10530E+00	 2.50380E+00	 4.10530E+00	 2.39542E+00	 1.30681E+01	  879
 4.10530E+00	 2.28704E+00	 4.10530E+00	 2.21866E+00	 1.32449E+01	  880
 4.10530E+00	 2.15027E+00	 4.10530E+00	 2.06155E+00	 1.34020E+01	  881
 4.10530E+00	 1.97284E+00	 4.10530E+00	 1.93760E+00	 1.35259E+01	  882
 4.10530E+00	 1.90237E+00	 4.10530E+00	 1.75974E+00	 1.37038E+01	  883
 4.10530E+00	 1.61711E+00	 4.10530E+00	 1.55490E+00	 1.39087E+01	  884
 4.10530E+00	 1.49268E+00	 4.10530E+00	 1.37676E+00	 1.40868E+01	  885
 4.10530E+00	 1.26084E+00	 4.10530E+00	 1.17182E+00	 1.42917E+01	  886
 4.10530E+00	 1.08281E+00	 4.10530E+00	 9.93899E-01	 1.44696E+01	  887
 4.10530E+00	 9.04989E-01	 4.10530E+00	 8.15660E-01	 1.46479E+01	  888
 4.10530E+00	 7.26332E-01	 4.10530E+00	 6.38357E-01	 1.48252E+01	  889
 4.10530E+00	 5.50383E-01	 4.10530E+00	 4.80070E-01	 1.49835E+01	  890
 4.10530E+00	 4.09757E-01	 4.10530E+00	 2.85083E-01	 1.51785E+01	  891
 4.10530E+00	 1.60410E-01	 4.10530E+00	 4.28434E-02	 1.54207E+01	  892
 4.10530E+00	-7.47232E-02	 4.10530E+00	-1.12968E-01	 1.55765E+01	  893
 4.10530E+00	-1.51213E-01	 4.10530E+00	-2.35381E-01	 1.56989E+01	  894
 4.10530E+00	-3.19549E-01	 4.10530E+00	-4.52097E-01	 1.59156E+01	  895
 4.10530E+00	-5.84646E-01	 4.10530E+00	-6.24861E-01	 1.60884E+01	  896
 4.10530E+00	-6.65076E-01	 4.10530E+00	-7.83421E-01	 1.62470E+01	  897
 4.10530E+00	-9.01767E-01	 4.10530E+00	-9.49759E-01	 1.64133E+01	  898
 4.10530E+00	-9.97751E-01	 4.10530E+00	-1.07893E+00	 1.65425E+01	  899
 4.10530E+00	-1.16010E+00	 4.10530E+00	-1.26078E+00	 1.67243E+01	  900
 4.10530E+00	-1.36146E+00	 4.10530E+00	-1.41811E+00	 1.68817E+01	  901
 4.10530E+00	-1.47477E+00	 4.10530E+00	-1.55046E+00	 1.70140E+01	  902
